symbol,ret_20,amp_1,vol_20,log_amount_20,turnover_20,log_price,rk_price,rk_ret20,rk_vol20,rk_logamt20,rk_turn20,rk_floatcap,rk_upper_shadow,rk_lower_shadow,rk_body,rk_rev_ratio,score
601949,0.09118541033434635,0.01810584958217269,0.03160447294530636,19.311633710104616,0.017364830849204992,1.9712993830601329,0.1636546184738956,0.8333333333333334,0.6034136546184738,0.33433734939759036,0.2459839357429719,0.5863453815261044,0.21586345381526104,0.5060240963855421,0.7520080321285141,0.6736947791164659,-4.3113961429124545
002537,0.012443438914027105,0.015642458100558723,0.024425726737014205,19.978234243217365,0.0454024016230007,2.191653532286764,0.22339357429718876,0.5552208835341366,0.39056224899598396,0.6014056224899599,0.6586345381526104,0.33835341365461846,0.08333333333333333,0.5853413654618473,0.7530120481927711,0.8463855421686747,-4.336947212006378
002015,0.06304558680892347,0.04562043795620438,0.018880598672146535,19.8136607301424,0.022782150859446033,2.3942522815198695,0.2971887550200803,0.7710843373493976,0.24497991967871485,0.5301204819277109,0.3614457831325301,0.8002008032128514,0.6224899598393574,0.8644578313253012,0.7178714859437751,0.7429718875502008,-4.342764005434281
603005,0.0334494773519165,0.042481456507080295,0.029942335213189234,21.073772261714854,0.07100677754640279,3.389799336709786,0.7128514056224899,0.6646586345381527,0.5572289156626506,0.8985943775100401,0.8493975903614458,0.8493975903614458,0.2319277108433735,0.9307228915662651,0.6967871485943775,0.9327309236947792,-4.348745575618459
300855,0.10613598673300184,0.05172413793103449,0.05678388678420555,19.861668765338646,0.038495818954303665,3.6893793291555874,0.7941767068273092,0.8614457831325302,0.9327309236947792,0.5522088353413654,0.5913654618473896,0.4357429718875502,0.7118473895582329,0.8795180722891566,0.7168674698795181,0.7048192771084337,-4.350720514381089
300181,0.06075334143377886,0.027491408934707928,0.013799248059501033,19.36021134315672,0.024822657756510127,2.859912550411456,0.4884538152610442,0.7640562248995983,0.12048192771084337,0.3604417670682731,0.3965863453815261,0.3453815261044177,0.39558232931726905,0.6757028112449799,0.7991967871485943,0.6907630522088354,-4.351232932575445
002987,-0.06172839506172845,0.014736842105263031,0.021723945778355756,19.83307866412643,0.023511350237522242,2.9444389791664403,0.5296184738955824,0.20381526104417672,0.3072289156626506,0.5401606425702812,0.37349397590361444,0.7299196787148594,0.029116465863453816,0.6385542168674698,0.7439759036144579,0.9447791164658634,-4.3709222706545665
300634,0.10320150659133698,0.0276544895868898,0.06036242018501259,21.034679271452337,0.09936430040027752,3.377246160839642,0.7078313253012049,0.8594377510040161,0.9568273092369478,0.8865461847389559,0.9337349397590361,0.5120481927710844,0.45481927710843373,0.6395582329317269,0.7379518072289156,0.6295180722891566,-4.3777325855623
600572,0.008888888888888946,0.015418502202643038,0.008677931479212694,19.04650482737235,0.016255581265164964,1.5129270120532565,0.050200803212851405,0.5381526104417671,0.013052208835341365,0.24397590361445784,0.21586345381526104,0.41767068273092367,0.060240963855421686,0.6224899598393574,0.8052208835341366,0.8945783132530121,-4.3922931315638385
000681,0.053815261044176665,0.03048780487804881,0.06056162772646393,21.849353053923455,0.15822762084449982,3.267284964075888,0.6561244979919679,0.7419678714859438,0.9578313253012049,0.9799196787148594,0.9869477911646586,0.7951807228915663,0.5682730923694779,0.5993975903614458,0.7279116465863453,0.5381526104417671,-4.397113393936778
301678,0.08005780346820801,0.022611720631522583,0.04750735681728683,20.057984369851074,0.13522074657698277,4.314015424057338,0.9156626506024096,0.8112449799196787,0.857429718875502,0.6214859437751004,0.9738955823293173,0.025100401606425703,0.11646586345381527,0.7459839357429718,0.7329317269076305,0.8845381526104418,-4.4023893005431125
600789,-0.004314994606256617,0.00975081256771396,0.028812759072922745,20.018906497595168,0.05685054744344582,2.222459048514761,0.232429718875502,0.46887550200803213,0.5240963855421686,0.6114457831325302,0.7650602409638554,0.17369477911646586,0.0321285140562249,0.4046184738955823,0.7088353413654619,0.8614457831325302,-4.403034529053177
300298,0.019618834080717518,0.012644310060472614,0.020604696369910365,19.406809595750342,0.031539052261780456,2.900871992530031,0.5150602409638554,0.5983935742971888,0.28815261044176704,0.38052208835341367,0.5030120481927711,0.1636546184738956,0.02610441767068273,0.5783132530120482,0.7389558232931727,0.9427710843373494,-4.417041239969824
600597,-0.013496932515337567,0.011194029850746252,0.008220369880527876,18.408395199253512,0.008900782085027151,2.0844290831908747,0.18875502008032127,0.42168674698795183,0.0050200803212851405,0.055220883534136546,0.04116465863453815,0.3785140562248996,0.040160642570281124,0.4538152610441767,0.7911646586345381,0.8624497991967871,-4.425806331298424
600155,-0.007320644216691097,0.014749262536873104,0.01152621165395701,19.232093704739892,0.014804173780488063,1.9139771019523042,0.14759036144578314,0.4568273092369478,0.05823293172690763,0.30220883534136544,0.1746987951807229,0.6736947791164659,0.06224899598393574,0.6014056224899599,0.7891566265060241,0.8865461847389559,-4.428086850576618
002705,-0.0021097046413502962,0.015503875968992168,0.009648262652897801,18.498130573482353,0.009235047829275313,2.6525374911719513,0.40160642570281124,0.4819277108433735,0.024096385542168676,0.06927710843373494,0.04718875502008032,0.41566265060240964,0.08433734939759036,0.5763052208835341,0.7801204819277109,0.8383534136546185,-4.474011955764537
603613,-0.06201550387596888,0.011645379413974408,0.022424700978256464,19.952895587260002,0.022165610273114148,3.2816628129669656,0.6616465863453815,0.20281124497991967,0.3232931726907631,0.5883534136546185,0.35240963855421686,0.8453815261044176,0.05421686746987952,0.4598393574297189,0.7429718875502008,0.8473895582329317,-4.489336907603003
301377,0.15443834515999466,0.0459263554653522,0.046900262338378094,20.636653431066314,0.0789863109653075,5.15010733938285,0.9849397590361446,0.9046184738955824,0.8534136546184738,0.8062248995983936,0.8885542168674698,0.4799196787148594,0.7158634538152611,0.8122489959839357,0.6937751004016064,0.6345381526104418,-4.490881340418875
300119,-0.024390243902439046,0.020833333333333447,0.020114291633514778,18.8539007891566,0.02282743660661159,2.954910279033736,0.536144578313253,0.3714859437751004,0.2781124497991968,0.1746987951807229,0.3634538152610442,0.07730923694779117,0.3714859437751004,0.44477911646586343,0.7640562248995983,0.5512048192771084,-4.517417070296724
